# Energy(keV) Counts
2037.5 144
2042.5 178
2047.5 281
2052.5 332
2057.5 360
2062.5 385
2067.5 553
2072.5 777
2077.5 1015
2082.5 1049
2087.5 992
2092.5 769
2097.5 476
2102.5 181
2107.5 78
2112.5 38
2117.5 35
2122.5 40
2127.5 50
2132.5 44
2137.5 38
2142.5 34
2147.5 37
2152.5 44
2157.5 43
2162.5 39
2167.5 39
2172.5 44
2177.5 55
2182.5 62
2187.5 90
2192.5 119
2197.5 252
2202.5 433
2207.5 711
2212.5 952
2217.5 1017
2222.5 992
2227.5 738
2232.5 461
2237.5 295
2242.5 173
2247.5 136
2252.5 114
2257.5 134
2262.5 123
2267.5 135
2272.5 97
2277.5 95
2282.5 75
2287.5 94
2292.5 64
2297.5 66
2302.5 69
2307.5 65
2312.5 67
2317.5 51
2322.5 44
2327.5 55
2332.5 54
2337.5 56
2342.5 49
2347.5 52
2352.5 59
2357.5 52
2362.5 66
2367.5 84
2372.5 75
2377.5 66
2382.5 57
2387.5 56
2392.5 54
2397.5 55
2402.5 69
2407.5 36
2412.5 34
2417.5 34
2422.5 25
2427.5 25
2432.5 13
2437.5 20
2442.5 18
2447.5 11
2452.5 12
2457.5 24
2462.5 23
2467.5 22
2472.5 15
2477.5 22
2482.5 23
2487.5 33
2492.5 25
2497.5 27
2502.5 45
2507.5 63
2512.5 52
2517.5 43
2522.5 29
2527.5 17
2532.5 16
2537.5 8
2542.5 16
2547.5 11
2552.5 11
2557.5 9
2562.5 13
2567.5 13
2572.5 9
2577.5 15
2582.5 5
2587.5 18
2592.5 11
2597.5 11
2602.5 7
2607.5 9
2612.5 9
2617.5 11
2622.5 7
2627.5 14
2632.5 7
2637.5 8
2642.5 9
2647.5 15
2652.5 10
2657.5 9
2662.5 11
2667.5 9
2672.5 9
2677.5 11
2682.5 15
2687.5 14
2692.5 17
2697.5 14
2702.5 15
2707.5 13
2712.5 16
2717.5 12
2722.5 9
2727.5 18
2732.5 12
2737.5 13
2742.5 15
2747.5 25
2752.5 17
2757.5 11
2762.5 20
2767.5 19
2772.5 18
2777.5 23
2782.5 24
2787.5 23
2792.5 19
2797.5 20
2802.5 28
2807.5 24
2812.5 25
2817.5 27
2822.5 40
2827.5 35
2832.5 41
2837.5 43
2842.5 53
2847.5 46
2852.5 75
2857.5 81
2862.5 85
2867.5 100
2872.5 110
2877.5 113
2882.5 127
2887.5 141
2892.5 144
2897.5 121
2902.5 137
2907.5 119
2912.5 106
2917.5 87
2922.5 94
2927.5 91
2932.5 72
2937.5 62
2942.5 64
2947.5 58
2952.5 45
2957.5 48
2962.5 42
2967.5 46
2972.5 27
2977.5 39
2982.5 43
2987.5 24
2992.5 36
2997.5 27
3002.5 33
3007.5 36
3012.5 43
3017.5 48
3022.5 31
3027.5 43
3032.5 41
3037.5 35
3042.5 28
3047.5 41
3052.5 40
3057.5 50
3062.5 51
3067.5 50
3072.5 46
3077.5 46
3082.5 70
3087.5 86
3092.5 152
3097.5 190
3102.5 232
3107.5 256
3112.5 211
3117.5 204
3122.5 157
3127.5 127
3132.5 85
3137.5 100
3142.5 99
3147.5 122
3152.5 129
3157.5 147
3162.5 174
3167.5 169
3172.5 193
3177.5 191
3182.5 197
3187.5 212
3192.5 196
3197.5 211
3202.5 195
3207.5 225
3212.5 203
3217.5 195
3222.5 161
3227.5 168
3232.5 188
3237.5 168
3242.5 166
3247.5 174
3252.5 184
3257.5 182
3262.5 189
3267.5 185
3272.5 223
3277.5 244
3282.5 245
3287.5 316
3292.5 384
3297.5 445
3302.5 527
3307.5 632
3312.5 763
3317.5 912
3322.5 1019
3327.5 1127
3332.5 1157
3337.5 1108
3342.5 1023
3347.5 849
3352.5 749
3357.5 696
3362.5 663
3367.5 699
3372.5 604
3377.5 575
3382.5 389
3387.5 236
3392.5 172
3397.5 144
3402.5 128
3407.5 114
3412.5 116
3417.5 99
3422.5 123
3427.5 125
3432.5 155
3437.5 196
3442.5 280
3447.5 350
3452.5 402
3457.5 477
3462.5 507
3467.5 423
3472.5 355
3477.5 271
3482.5 236
3487.5 165
3492.5 125
3497.5 118
3502.5 111
3507.5 93
3512.5 70
3517.5 87
3522.5 76
3527.5 64
3532.5 81
3537.5 76
3542.5 59
3547.5 47
3552.5 62
3557.5 53
3562.5 56
3567.5 50
3572.5 36
3577.5 48
3582.5 45
3587.5 51
3592.5 35
3597.5 48
3602.5 41
3607.5 33
3612.5 44
3617.5 41
3622.5 50
3627.5 56
3632.5 43
3637.5 56
3642.5 55
3647.5 37
3652.5 33
3657.5 33
3662.5 52
3667.5 55
3672.5 49
3677.5 63
3682.5 69
3687.5 93
3692.5 72
3697.5 81
3702.5 70
3707.5 67
3712.5 84
3717.5 62
3722.5 48
3727.5 51
3732.5 44
3737.5 33
3742.5 39
3747.5 31
3752.5 30
3757.5 35
3762.5 27
3767.5 25
3772.5 29
3777.5 20
3782.5 24
3787.5 24
3792.5 13
3797.5 17
3802.5 13
3807.5 31
3812.5 16
3817.5 19
3822.5 22
3827.5 25
3832.5 24
3837.5 22
3842.5 26
3847.5 30
3852.5 20
3857.5 32
3862.5 35
3867.5 25
3872.5 30
3877.5 35
3882.5 37
3887.5 46
3892.5 48
3897.5 35
3902.5 45
3907.5 31
3912.5 38
3917.5 41
3922.5 53
3927.5 40
3932.5 63
3937.5 68
3942.5 50
3947.5 62
3952.5 48
3957.5 59
3962.5 71
3967.5 69
3972.5 60
3977.5 70
3982.5 58
3987.5 56
3992.5 53
3997.5 63
4002.5 59
4007.5 65
4012.5 72
4017.5 84
4022.5 75
4027.5 81
4032.5 105
4037.5 108
4042.5 114
4047.5 165
4052.5 156
4057.5 243
4062.5 451
4067.5 1117
4072.5 2783
4077.5 5094
4082.5 7446
4087.5 8573
4092.5 8211
4097.5 6873
4102.5 4408
4107.5 1987
4112.5 630
4117.5 170
4122.5 98
4127.5 86
4132.5 91
4137.5 87
4142.5 71
4147.5 72
4152.5 64
4157.5 53
4162.5 42
4167.5 43
4172.5 41
4177.5 40
4182.5 47
4187.5 44
4192.5 49
4197.5 59
4202.5 59
4207.5 48
4212.5 60
4217.5 46
4222.5 44
4227.5 39
4232.5 30
4237.5 28
4242.5 24
4247.5 15
4252.5 21
4257.5 18
4262.5 12
4267.5 15
4272.5 3
4277.5 16
4282.5 18
4287.5 14
4292.5 15
4297.5 18
4302.5 19
4307.5 17
4312.5 18
4317.5 13
4322.5 19
4327.5 23
4332.5 24
4337.5 24
4342.5 37
4347.5 39
4352.5 65
4357.5 82
4362.5 124
4367.5 136
4372.5 118
4377.5 101
4382.5 70
4387.5 52
4392.5 41
4397.5 40
4402.5 42
4407.5 24
4412.5 34
4417.5 29
4422.5 32
4427.5 37
4432.5 43
4437.5 32
4442.5 22
4447.5 25
4452.5 29
4457.5 35
4462.5 20
4467.5 16
4472.5 16
4477.5 18
4482.5 22
4487.5 27
4492.5 22
4497.5 25
4502.5 20
4507.5 26
4512.5 39
4517.5 28
4522.5 24
4527.5 35
4532.5 30
4537.5 25
4542.5 28
4547.5 25
4552.5 29
4557.5 41
4562.5 39
4567.5 39
4572.5 43
4577.5 32
4582.5 52
4587.5 46
4592.5 56
4597.5 57
4602.5 95
4607.5 85
4612.5 108
4617.5 133
4622.5 141
4627.5 175
4632.5 214
4637.5 241
4642.5 280
4647.5 268
4652.5 327
4657.5 317
4662.5 268
4667.5 219
4672.5 198
4677.5 192
4682.5 152
4687.5 125
4692.5 110
4697.5 98
4702.5 99
4707.5 71
4712.5 65
4717.5 51
4722.5 53
4727.5 56
4732.5 55
4737.5 57
4742.5 41
4747.5 54
4752.5 71
4757.5 87
4762.5 105
4767.5 117
4772.5 117
4777.5 117
4782.5 94
4787.5 66
4792.5 63
4797.5 44
4802.5 32
4807.5 18
4812.5 20
4817.5 20
4822.5 8
4827.5 11
4832.5 7
4837.5 10
4842.5 4
4847.5 7
4852.5 7
4857.5 6
4862.5 5
4867.5 6
4872.5 2
4877.5 0
4882.5 7
4887.5 4
4892.5 7
4897.5 3
4902.5 9
4907.5 2
4912.5 0
4917.5 4
4922.5 6
4927.5 7
4932.5 3
4937.5 2
4942.5 6
4947.5 3
4952.5 7
4957.5 6
4962.5 2
4967.5 7
4972.5 6
4977.5 3
4982.5 8
4987.5 7
4992.5 16
4997.5 26
5002.5 16
5007.5 14
5012.5 14
5017.5 11
5022.5 13
5027.5 15
5032.5 10
5037.5 11
5042.5 15
5047.5 8
5052.5 8
5057.5 13
5062.5 16
5067.5 12
5072.5 8
5077.5 11
5082.5 12
5087.5 14
5092.5 17
5097.5 6
5102.5 17
5107.5 13
5112.5 19
5117.5 35
5122.5 41
5127.5 58
5132.5 74
5137.5 95
5142.5 135
5147.5 138
5152.5 130
5157.5 118
5162.5 108
5167.5 67
5172.5 61
5177.5 38
5182.5 23
5187.5 30
5192.5 16
5197.5 16
5202.5 10
5207.5 21
5212.5 13
5217.5 22
5222.5 23
5227.5 25
5232.5 28
5237.5 31
5242.5 19
5247.5 22
5252.5 33
5257.5 22
5262.5 17
5267.5 18
5272.5 9
5277.5 18
5282.5 20
5287.5 13
5292.5 25
5297.5 18
5302.5 5
5307.5 13
5312.5 17
5317.5 18
5322.5 20
5327.5 15
5332.5 18
5337.5 15
5342.5 22
5347.5 29
5352.5 31
5357.5 23
5362.5 33
5367.5 47
5372.5 73
5377.5 176
5382.5 412
5387.5 816
5392.5 1262
5397.5 1614
5402.5 1695
5407.5 1645
5412.5 1369
5417.5 879
5422.5 436
5427.5 177
5432.5 44
5437.5 31
5442.5 29
5447.5 14
5452.5 20
5457.5 10
5462.5 19
5467.5 21
5472.5 16
5477.5 14
5482.5 14
5487.5 14
5492.5 22
5497.5 25
5502.5 12
5507.5 22
5512.5 10
5517.5 23
5522.5 10
5527.5 25
5532.5 14
5537.5 13
5542.5 13
5547.5 7
5552.5 13
5557.5 15
5562.5 8
5567.5 7
5572.5 2
5577.5 9
5582.5 5
5587.5 8
5592.5 3
5597.5 4
5602.5 6
5607.5 2
5612.5 2
5617.5 5
5622.5 7
5627.5 6
5632.5 6
5637.5 2
5642.5 9
5647.5 5
5652.5 6
5657.5 3
5662.5 10
5667.5 6
5672.5 4
5677.5 9
5682.5 6
5687.5 9
5692.5 8
5697.5 6
5702.5 0
5707.5 8
5712.5 6
5717.5 2
5722.5 6
5727.5 5
5732.5 5
5737.5 6
5742.5 9
5747.5 7
5752.5 10
5757.5 4
5762.5 4
5767.5 5
5772.5 4
5777.5 3
5782.5 5
5787.5 4
5792.5 6
5797.5 5
5802.5 5
5807.5 1
5812.5 3
5817.5 3
5822.5 2
5827.5 3
5832.5 2
5837.5 2
5842.5 0
5847.5 4
5852.5 1
5857.5 4
5862.5 1
5867.5 1
5872.5 3
5877.5 2
5882.5 2
5887.5 6
5892.5 1
5897.5 4
5902.5 1
5907.5 2
5912.5 1
5917.5 4
5922.5 2
5927.5 1
5932.5 1
5937.5 3
5942.5 1
5947.5 0
5952.5 1
5957.5 0
5962.5 1
5967.5 0
5972.5 0
5977.5 1
5982.5 1
5987.5 0
5992.5 0
5997.5 0
6002.5 0
6007.5 2
6012.5 0
6017.5 2
6022.5 11
6027.5 5
6032.5 7
6037.5 12
6042.5 6
6047.5 7
6052.5 5
6057.5 7
6062.5 14
6067.5 13
6072.5 7
6077.5 3
6082.5 4
6087.5 6
6092.5 4
6097.5 4
6102.5 6
6107.5 7
6112.5 5
6117.5 7
6122.5 6
6127.5 6
6132.5 6
6137.5 5
6142.5 4
6147.5 5
6152.5 6
6157.5 3
6162.5 2
6167.5 6
6172.5 3
6177.5 6
6182.5 4
6187.5 5
6192.5 3
6197.5 3
6202.5 3
6207.5 4
6212.5 4
6217.5 2
6222.5 4
6227.5 9
6232.5 1
6237.5 3
6242.5 5
6247.5 3
6252.5 3
6257.5 6
6262.5 5
6267.5 3
6272.5 6
6277.5 7
6282.5 5
6287.5 1
6292.5 2
6297.5 2
6302.5 10
6307.5 2
6312.5 3
6317.5 7
6322.5 6
6327.5 8
6332.5 5
6337.5 3
6342.5 2
6347.5 4
6352.5 3
6357.5 3
6362.5 3
6367.5 3
6372.5 4
6377.5 2
6382.5 4
6387.5 3
6392.5 3
6397.5 6
6402.5 3
6407.5 3
6412.5 4
6417.5 1
6422.5 2
6427.5 3
6432.5 1
6437.5 4
6442.5 5
6447.5 8
6452.5 6
6457.5 4
6462.5 8
6467.5 9
6472.5 6
6477.5 6
6482.5 2
6487.5 7
6492.5 12
6497.5 6
6502.5 9
6507.5 7
6512.5 6
6517.5 6
6522.5 8
6527.5 9
6532.5 16
6537.5 7
6542.5 14
6547.5 11
6552.5 10
6557.5 7
6562.5 10
6567.5 7
6572.5 8
6577.5 5
6582.5 5
6587.5 3
6592.5 3
6597.5 4
6602.5 1
6607.5 7
6612.5 6
6617.5 4
6622.5 6
6627.5 5
6632.5 7
6637.5 5
6642.5 4
6647.5 3
6652.5 4
6657.5 5
6662.5 6
6667.5 2
6672.5 3
6677.5 3
6682.5 3
6687.5 0
6692.5 2
6697.5 5
6702.5 3
6707.5 2
6712.5 5
6717.5 7
6722.5 2
6727.5 1
6732.5 4
6737.5 8
6742.5 2
6747.5 3
6752.5 3
6757.5 1
6762.5 3
6767.5 3
6772.5 6
6777.5 2
6782.5 2
6787.5 5
6792.5 3
6797.5 1
6802.5 3
6807.5 1
6812.5 1
6817.5 5
6822.5 3
6827.5 4
6832.5 4
6837.5 2
6842.5 4
6847.5 3
6852.5 4
6857.5 6
6862.5 1
6867.5 3
6872.5 1
6877.5 2
6882.5 4
6887.5 1
6892.5 3
6897.5 5
6902.5 0
6907.5 4
6912.5 7
6917.5 0
6922.5 1
6927.5 2
6932.5 0
6937.5 1
6942.5 3
6947.5 4
6952.5 2
6957.5 1
6962.5 1
6967.5 3
6972.5 2
6977.5 0
6982.5 1
6987.5 1
6992.5 0
6997.5 1
7002.5 1
7007.5 2
7012.5 3
7017.5 0
7022.5 1
7027.5 0
7032.5 1
7037.5 1
7042.5 0
7047.5 0
7052.5 0
7057.5 0
7062.5 1
7067.5 2
7072.5 0
7077.5 1
7082.5 1
7087.5 2
7092.5 1
7097.5 0
7102.5 2
7107.5 3
7112.5 0
7117.5 1
7122.5 1
7127.5 0
7132.5 0
7137.5 0
7142.5 1
7147.5 1
7152.5 0
7157.5 0
7162.5 0
7167.5 0
7172.5 0
7177.5 0
7182.5 1
7187.5 1
7192.5 1
7197.5 2
7202.5 0
7207.5 0
7212.5 0
7217.5 0
7222.5 0
7227.5 0
7232.5 0
7237.5 0
7242.5 0
7247.5 0
7252.5 0
7257.5 0
7262.5 0
7267.5 0
7272.5 1
7277.5 1
7282.5 0
7287.5 0
7292.5 1
7297.5 1
7302.5 0
7307.5 0
7312.5 0
7317.5 0
7322.5 0
7327.5 0
7332.5 3
7337.5 1
7342.5 0
7347.5 0
7352.5 0
7357.5 0
7362.5 0
7367.5 0
7372.5 0
7377.5 0
7382.5 0
7387.5 1
7392.5 1
7397.5 2
7402.5 0
7407.5 0
7412.5 0
7417.5 0
7422.5 0
7427.5 0
7432.5 0
7437.5 0
7442.5 0
7447.5 0
7452.5 0
7457.5 0
7462.5 0
7467.5 0
7472.5 0
7477.5 0
7482.5 1
7487.5 2
7492.5 0
7497.5 0
7502.5 1
7507.5 0
7512.5 0
7517.5 0
7522.5 0
7527.5 0
7532.5 0
7537.5 0
7542.5 0
7547.5 0
7552.5 0
7557.5 1
7562.5 0
7567.5 0
7572.5 1
7577.5 0
7582.5 1
7587.5 0
7592.5 0
7597.5 1
7602.5 0
7607.5 0
7612.5 0
7617.5 1
7622.5 0
7627.5 0
7632.5 0
7637.5 0
7642.5 0
7647.5 0
7652.5 0
7657.5 1
7662.5 0
7667.5 0
7672.5 0
7677.5 0
7682.5 0
7687.5 0
7692.5 1
7697.5 0
7702.5 0
7707.5 1
7712.5 0
7717.5 0
7722.5 0
7727.5 0
7732.5 0
7737.5 0
7742.5 0
7747.5 0
7752.5 0
7757.5 0
7762.5 0
7767.5 0
7772.5 0
7777.5 0
7782.5 0
7787.5 0
7792.5 0
7797.5 1
7802.5 0
7807.5 0
7812.5 0
7817.5 0
7822.5 0
7827.5 0
7832.5 0
7837.5 0
7842.5 0
7847.5 0
7852.5 0
7857.5 0
7862.5 0
7867.5 0
7872.5 0
7877.5 0
7882.5 0
7887.5 0
7892.5 0
7897.5 0
7902.5 0
7907.5 0
7912.5 0
7917.5 0
7922.5 0
7927.5 0
7932.5 0
7937.5 0
7942.5 1
7947.5 0
7952.5 0
7957.5 0
7962.5 0
7967.5 0
7972.5 0
7977.5 0
7982.5 0
7987.5 0
7992.5 0
7997.5 0
8002.5 0
8007.5 0
8012.5 1
8017.5 0
8022.5 0
8027.5 0
8032.5 1
8037.5 0
8042.5 0
8047.5 0
8052.5 0
8057.5 0
8062.5 0
8067.5 0
8072.5 0
8077.5 0
8082.5 0
8087.5 0
8092.5 0
8097.5 0
8102.5 0
8107.5 0
8112.5 0
8117.5 0
8122.5 0
8127.5 0
8132.5 0
8137.5 0
8142.5 0
8147.5 0
8152.5 0
8157.5 0
8162.5 0
8167.5 0
8172.5 0
8177.5 0
8182.5 0
8187.5 0
8192.5 0
8197.5 0
8202.5 0
8207.5 0
8212.5 1
8217.5 0
8222.5 0
8227.5 0
8232.5 0
8237.5 0
8242.5 0
8247.5 0
8252.5 0
8257.5 0
8262.5 0
8267.5 0
8272.5 0
8277.5 0
8282.5 0
8287.5 0
8292.5 0
8297.5 0
8302.5 0
8307.5 0
8312.5 0
8317.5 0
8322.5 0
8327.5 0
8332.5 0
8337.5 0
8342.5 0
8347.5 0
8352.5 1
8357.5 0
8362.5 0
8367.5 0
8372.5 0
8377.5 0
8382.5 0
8387.5 0
8392.5 0
8397.5 0
8402.5 0
8407.5 0
8412.5 0
8417.5 0
8422.5 0
8427.5 0
8432.5 0
8437.5 0
8442.5 0
8447.5 0
8452.5 0
8457.5 0
8462.5 0
8467.5 0
8472.5 0
8477.5 0
8482.5 0
8487.5 0
8492.5 0
8497.5 0
8502.5 0
8507.5 0
8512.5 0
8517.5 0
8522.5 0
8527.5 0
8532.5 0
8537.5 0
8542.5 0
8547.5 0
8552.5 0
8557.5 0
8562.5 0
8567.5 0
8572.5 0
8577.5 0
8582.5 0
8587.5 0
8592.5 0
8597.5 0
8602.5 0
8607.5 0
8612.5 0
8617.5 0
8622.5 0
8627.5 0
8632.5 0
8637.5 0
8642.5 0
8647.5 0
8652.5 0
8657.5 0
8662.5 0
8667.5 0
8672.5 0
8677.5 0
8682.5 0
8687.5 0
8692.5 0
8697.5 0
8702.5 0
8707.5 0
8712.5 0
8717.5 0
8722.5 0
8727.5 0
8732.5 0
8737.5 0
8742.5 0
8747.5 0
8752.5 0
8757.5 0
8762.5 0
8767.5 0
8772.5 0
8777.5 0
8782.5 0
8787.5 0
8792.5 0
8797.5 0
8802.5 0
8807.5 0
8812.5 0
8817.5 0
8822.5 0
8827.5 0
8832.5 0
8837.5 0
8842.5 0
8847.5 0
8852.5 0
8857.5 0
8862.5 0
8867.5 0
8872.5 0
8877.5 0
8882.5 0
8887.5 0
8892.5 0
8897.5 0
8902.5 0
8907.5 0
8912.5 0
8917.5 0
8922.5 0
8927.5 0
8932.5 0
8937.5 0
8942.5 0
8947.5 0
8952.5 0
8957.5 0
8962.5 0
8967.5 0
8972.5 0
8977.5 0
8982.5 0
8987.5 0
8992.5 0
8997.5 0
